scenario,tes_sector,year,emissions_MtCO2e
Reference,Waste,2014,24.9411451513854
Reference,Waste,2015,24.1173212960075
Reference,Waste,2016,22.9420269878946
Reference,Waste,2017,23.2815089852245
Reference,Waste,2018,23.1253245940442
Reference,Waste,2019,22.6426622638462
Reference,Waste,2020,21.1336177423037
Reference,Waste,2021,20.070118805901
Reference,Waste,2022,19.9737418305989
Reference,Waste,2023,19.8666312812048
Reference,Waste,2024,19.0389138671954
Reference,Waste,2025,18.6720516619882
Reference,Waste,2026,18.2554886202007
Reference,Waste,2027,18.567895163075
Reference,Waste,2028,17.5966501636035
Reference,Waste,2029,16.7425537234689
Reference,Waste,2030,15.9382259401972
Reference,Waste,2031,15.2275184180952
Reference,Waste,2032,14.6004148871288
Reference,Waste,2033,14.048664442749
Reference,Waste,2034,13.5668920883837
Reference,Waste,2035,13.1473344474649
Reference,Waste,2036,12.7820473750998
Reference,Waste,2037,12.4632483975166
Reference,Waste,2038,12.1868367778312
Reference,Waste,2039,11.9490548829467
Reference,Waste,2040,11.7468389629804
Reference,Waste,2041,11.6333884809098
Reference,Waste,2042,11.5494610935101
Reference,Waste,2043,11.4926011563282
Reference,Waste,2044,11.460575465964
Reference,Waste,2045,11.4521137642813
Reference,Waste,2046,11.4639103903603
Reference,Waste,2047,11.4941094018036
Reference,Waste,2048,11.5411882308021
Reference,Waste,2049,11.6039467491324
Reference,Waste,2050,11.6812776690764
