mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,tes_sector,sector_2050_MtCO2e_before_offsets,desnz_central_2050_MtCO2e,accelerated_anchor_2050_MtCO2e,delayed_delivery_2050_MtCO2e,external_dependency_score,clean_power_score
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Fuel supply,11.646951060378514,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,Waste,9.267198254145102,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,LULUCF,2.451724816887911,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Buildings and product uses,38.047675097076564,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Domestic Transport,49.4651141940201,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Industry,20.712843834068167,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Electricity supply,18.56952411035002,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Agriculture,40.146105931534244,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,IAS,23.101968059057413,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Fuel supply,9.48007644449414,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,Waste,7.689802806631043,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,LULUCF,2.015862627218949,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,Buildings and product uses,76.09535019415314,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,Domestic Transport,75.14286217156672,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,Industry,47.074645077427654,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,Electricity supply,38.730721715872896,40.9557563067436,0.0,42.4446265379429,0.5,1.0
